User ID,Timestamp,Channel,Campaign,Conversion,Date
67211,2025-02-11 12:24:54,Social Media,Winter Sale,Yes,2025-02-11
83035,2025-02-11 02:33:02,Email,Winter Sale,No,2025-02-11
73105,2025-02-11 17:13:10,Display Ads,-,Yes,2025-02-11
63337,2025-02-11 22:03:57,Search Ads,New Product Launch,No,2025-02-11
26185,2025-02-11 16:40:38,Social Media,Winter Sale,No,2025-02-11
58797,2025-02-10 20:15:39,Social Media,-,No,2025-02-10
67935,2025-02-10 22:15:53,Display Ads,Winter Sale,Yes,2025-02-10
81888,2025-02-11 00:28:45,Email,Retargeting,Yes,2025-02-11
42030,2025-02-11 06:17:27,Search Ads,New Product Launch,No,2025-02-11
94486,2025-02-11 11:12:15,Social Media,Retargeting,No,2025-02-11
55829,2025-02-11 04:46:30,Social Media,Retargeting,Yes,2025-02-11
50840,2025-02-10 17:42:31,Display Ads,Discount Offer,Yes,2025-02-10
76871,2025-02-10 09:24:50,Direct Traffic,-,No,2025-02-10
25845,2025-02-10 00:34:48,Referral,Retargeting,Yes,2025-02-10
32160,2025-02-11 07:51:34,Referral,Discount Offer,No,2025-02-11
43175,2025-02-11 22:13:55,Email,Discount Offer,Yes,2025-02-11
83965,2025-02-10 12:36:10,Direct Traffic,-,No,2025-02-10
47781,2025-02-10 03:03:53,Direct Traffic,-,Yes,2025-02-10
45812,2025-02-11 06:37:42,Display Ads,Retargeting,Yes,2025-02-11
45622,2025-02-11 18:43:58,Social Media,New Product Launch,Yes,2025-02-11
55079,2025-02-11 21:05:09,Direct Traffic,-,Yes,2025-02-11
60226,2025-02-10 06:16:24,Search Ads,New Product Launch,No,2025-02-10
52130,2025-02-11 19:13:03,Direct Traffic,-,No,2025-02-11
96142,2025-02-10 21:25:45,Search Ads,Brand Awareness,Yes,2025-02-10
69602,2025-02-10 20:33:09,Referral,Retargeting,No,2025-02-10
61352,2025-02-10 12:07:40,Social Media,Retargeting,Yes,2025-02-10
93270,2025-02-10 00:19:27,Email,Discount Offer,Yes,2025-02-10
35887,2025-02-10 14:37:34,Social Media,Discount Offer,Yes,2025-02-10
74629,2025-02-10 05:43:18,Direct Traffic,-,Yes,2025-02-10
37380,2025-02-10 07:38:08,Display Ads,Brand Awareness,No,2025-02-10
10698,2025-02-10 02:15:56,Referral,New Product Launch,No,2025-02-10
67893,2025-02-11 23:59:58,Search Ads,New Product Launch,Yes,2025-02-11
78241,2025-02-11 02:04:10,Display Ads,New Product Launch,Yes,2025-02-11
88708,2025-02-10 01:52:09,Display Ads,New Product Launch,No,2025-02-10
18572,2025-02-11 12:59:06,Direct Traffic,-,No,2025-02-11
43361,2025-02-10 00:16:55,Search Ads,Winter Sale,No,2025-02-10
67809,2025-02-11 09:45:56,Referral,Retargeting,No,2025-02-11
18348,2025-02-10 09:50:09,Display Ads,Winter Sale,Yes,2025-02-10
64907,2025-02-10 14:12:25,Email,Discount Offer,Yes,2025-02-10
28998,2025-02-11 23:06:24,Email,Brand Awareness,No,2025-02-11
55631,2025-02-11 19:24:42,Search Ads,New Product Launch,No,2025-02-11
14398,2025-02-10 12:08:30,Direct Traffic,-,No,2025-02-10
73835,2025-02-10 02:57:28,Direct Traffic,-,No,2025-02-10
38175,2025-02-11 10:40:09,Social Media,Discount Offer,No,2025-02-11
38857,2025-02-10 20:17:57,Search Ads,Retargeting,Yes,2025-02-10
23279,2025-02-11 20:11:11,Email,Retargeting,Yes,2025-02-11
82446,2025-02-11 02:49:44,Social Media,Brand Awareness,No,2025-02-11
73029,2025-02-10 10:16:48,Email,-,No,2025-02-10
64228,2025-02-10 14:34:15,Email,Retargeting,Yes,2025-02-10
87642,2025-02-10 11:20:03,Search Ads,Discount Offer,No,2025-02-10
11780,2025-02-10 15:07:44,Display Ads,Brand Awareness,No,2025-02-10
30429,2025-02-11 02:34:06,Display Ads,-,No,2025-02-11
11209,2025-02-10 22:14:31,Email,Winter Sale,No,2025-02-10
51437,2025-02-10 22:29:41,Referral,Winter Sale,Yes,2025-02-10
90848,2025-02-10 01:12:15,Referral,Retargeting,No,2025-02-10
49394,2025-02-11 16:46:43,Email,Winter Sale,Yes,2025-02-11
57108,2025-02-10 00:57:00,Direct Traffic,-,Yes,2025-02-10
83035,2025-02-11 21:18:22,Email,Discount Offer,No,2025-02-11
50295,2025-02-10 01:04:56,Social Media,Discount Offer,No,2025-02-10
28194,2025-02-10 11:40:24,Social Media,Brand Awareness,Yes,2025-02-10
40130,2025-02-11 01:58:44,Referral,Winter Sale,Yes,2025-02-11
17879,2025-02-11 23:08:01,Referral,Retargeting,No,2025-02-11
80960,2025-02-11 22:36:11,Search Ads,Retargeting,No,2025-02-11
49913,2025-02-10 18:37:47,Email,Discount Offer,Yes,2025-02-10
15418,2025-02-11 02:57:36,Email,New Product Launch,No,2025-02-11
60973,2025-02-10 05:22:22,Referral,New Product Launch,No,2025-02-10
22755,2025-02-10 09:50:14,Social Media,-,No,2025-02-10
34938,2025-02-10 02:32:43,Direct Traffic,-,Yes,2025-02-10
30521,2025-02-10 00:01:45,Display Ads,Discount Offer,Yes,2025-02-10
78560,2025-02-10 09:46:43,Referral,Retargeting,No,2025-02-10
42806,2025-02-11 05:45:28,Social Media,Winter Sale,No,2025-02-11
54089,2025-02-10 21:42:44,Direct Traffic,-,Yes,2025-02-10
35337,2025-02-10 16:30:10,Direct Traffic,-,Yes,2025-02-10
28289,2025-02-10 22:34:54,Search Ads,New Product Launch,Yes,2025-02-10
25172,2025-02-11 08:13:42,Referral,Brand Awareness,No,2025-02-11
98219,2025-02-10 06:57:56,Search Ads,Retargeting,No,2025-02-10
49456,2025-02-11 11:01:05,Referral,-,No,2025-02-11
70378,2025-02-10 02:11:44,Email,Winter Sale,No,2025-02-10
96740,2025-02-10 08:23:54,Display Ads,Winter Sale,Yes,2025-02-10
97780,2025-02-11 19:48:44,Display Ads,-,Yes,2025-02-11
72645,2025-02-10 09:04:41,Social Media,-,No,2025-02-10
28589,2025-02-11 14:22:26,Search Ads,-,Yes,2025-02-11
44303,2025-02-11 09:45:49,Social Media,Discount Offer,Yes,2025-02-11
42970,2025-02-11 10:51:02,Referral,Brand Awareness,No,2025-02-11
52689,2025-02-10 01:20:30,Referral,New Product Launch,No,2025-02-10
83355,2025-02-10 15:11:30,Direct Traffic,-,Yes,2025-02-10
56050,2025-02-10 11:50:21,Display Ads,Brand Awareness,Yes,2025-02-10
71027,2025-02-11 06:13:15,Display Ads,New Product Launch,No,2025-02-11
62697,2025-02-10 08:05:53,Email,New Product Launch,No,2025-02-10
86014,2025-02-11 18:37:28,Referral,New Product Launch,Yes,2025-02-11
57669,2025-02-10 05:31:09,Email,Brand Awareness,Yes,2025-02-10
28047,2025-02-11 07:21:30,Email,Discount Offer,No,2025-02-11
35598,2025-02-11 17:32:44,Display Ads,Winter Sale,Yes,2025-02-11
68838,2025-02-10 20:10:18,Email,-,No,2025-02-10
46506,2025-02-10 02:12:43,Display Ads,New Product Launch,Yes,2025-02-10
56855,2025-02-11 20:48:52,Email,Winter Sale,No,2025-02-11
28385,2025-02-11 13:26:47,Display Ads,Retargeting,Yes,2025-02-11
69316,2025-02-10 22:13:39,Referral,Brand Awareness,No,2025-02-10
85470,2025-02-11 22:42:42,Direct Traffic,-,No,2025-02-11
32424,2025-02-10 01:27:30,Search Ads,Brand Awareness,No,2025-02-10
95665,2025-02-11 17:01:15,Social Media,Brand Awareness,Yes,2025-02-11
10255,2025-02-10 01:10:54,Social Media,New Product Launch,No,2025-02-10
49673,2025-02-11 00:35:20,Search Ads,Winter Sale,Yes,2025-02-11
67175,2025-02-10 13:06:11,Referral,Brand Awareness,No,2025-02-10
26693,2025-02-10 18:50:11,Social Media,New Product Launch,Yes,2025-02-10
69421,2025-02-11 13:01:33,Email,Brand Awareness,Yes,2025-02-11
24765,2025-02-10 23:17:02,Display Ads,New Product Launch,Yes,2025-02-10
28144,2025-02-10 17:52:56,Display Ads,Retargeting,No,2025-02-10
57669,2025-02-10 14:09:26,Direct Traffic,-,No,2025-02-10
62225,2025-02-10 17:08:00,Direct Traffic,-,No,2025-02-10
38683,2025-02-11 04:02:24,Search Ads,Brand Awareness,No,2025-02-11
32344,2025-02-10 19:33:25,Referral,Winter Sale,Yes,2025-02-10
62422,2025-02-11 20:50:32,Direct Traffic,-,Yes,2025-02-11
31278,2025-02-11 21:42:39,Search Ads,-,No,2025-02-11
79091,2025-02-11 12:42:05,Email,-,Yes,2025-02-11
25105,2025-02-11 02:44:01,Email,New Product Launch,No,2025-02-11
46221,2025-02-11 12:50:52,Search Ads,Winter Sale,Yes,2025-02-11
68891,2025-02-10 11:13:58,Referral,Brand Awareness,Yes,2025-02-10
54874,2025-02-10 00:18:47,Email,Retargeting,No,2025-02-10
38822,2025-02-11 23:09:04,Direct Traffic,-,No,2025-02-11
67860,2025-02-11 21:55:04,Referral,Winter Sale,No,2025-02-11
29015,2025-02-10 23:11:28,Email,Winter Sale,No,2025-02-10
33189,2025-02-10 21:59:19,Referral,Discount Offer,No,2025-02-10
27470,2025-02-10 03:00:55,Referral,Brand Awareness,Yes,2025-02-10
74300,2025-02-11 22:48:08,Display Ads,New Product Launch,No,2025-02-11
71932,2025-02-10 06:03:41,Social Media,-,Yes,2025-02-10
37659,2025-02-10 08:16:11,Email,Winter Sale,Yes,2025-02-10
97706,2025-02-10 02:18:13,Search Ads,Discount Offer,No,2025-02-10
80739,2025-02-10 11:08:08,Referral,-,Yes,2025-02-10
72532,2025-02-10 03:21:09,Display Ads,-,Yes,2025-02-10
41901,2025-02-11 12:05:24,Display Ads,New Product Launch,No,2025-02-11
76065,2025-02-10 05:50:41,Referral,Brand Awareness,Yes,2025-02-10
62298,2025-02-11 04:42:25,Email,-,Yes,2025-02-11
97844,2025-02-10 21:30:25,Display Ads,Discount Offer,Yes,2025-02-10
34218,2025-02-10 14:43:41,Display Ads,New Product Launch,No,2025-02-10
89800,2025-02-10 05:04:29,Email,Brand Awareness,No,2025-02-10
34943,2025-02-11 10:17:21,Direct Traffic,-,Yes,2025-02-11
15640,2025-02-11 02:22:41,Referral,Winter Sale,Yes,2025-02-11
43603,2025-02-11 20:20:22,Email,New Product Launch,No,2025-02-11
41941,2025-02-11 00:42:19,Direct Traffic,-,Yes,2025-02-11
28297,2025-02-10 08:17:27,Referral,Brand Awareness,No,2025-02-10
64781,2025-02-11 10:51:11,Referral,Brand Awareness,No,2025-02-11
79163,2025-02-11 16:34:47,Social Media,Brand Awareness,Yes,2025-02-11
76743,2025-02-10 02:09:43,Direct Traffic,-,No,2025-02-10
40517,2025-02-11 19:12:45,Direct Traffic,-,No,2025-02-11
98418,2025-02-11 10:14:49,Search Ads,Brand Awareness,No,2025-02-11
76066,2025-02-11 14:53:27,Social Media,New Product Launch,Yes,2025-02-11
65966,2025-02-10 20:56:41,Social Media,Winter Sale,Yes,2025-02-10
16083,2025-02-10 10:06:59,Display Ads,-,No,2025-02-10
25845,2025-02-11 02:58:54,Email,-,Yes,2025-02-11
64032,2025-02-11 00:24:57,Email,-,Yes,2025-02-11
52260,2025-02-10 12:50:11,Search Ads,Brand Awareness,No,2025-02-10
84395,2025-02-10 22:21:15,Social Media,Brand Awareness,No,2025-02-10
35789,2025-02-10 10:44:31,Direct Traffic,-,Yes,2025-02-10
72415,2025-02-11 12:53:20,Direct Traffic,-,No,2025-02-11
72077,2025-02-10 17:43:00,Email,-,No,2025-02-10
86824,2025-02-11 09:21:05,Social Media,New Product Launch,No,2025-02-11
54070,2025-02-11 11:01:48,Search Ads,Retargeting,Yes,2025-02-11
91093,2025-02-11 15:57:33,Social Media,Retargeting,Yes,2025-02-11
50176,2025-02-10 18:08:48,Display Ads,New Product Launch,Yes,2025-02-10
37916,2025-02-11 00:29:35,Search Ads,Discount Offer,Yes,2025-02-11
70222,2025-02-11 18:48:31,Search Ads,Brand Awareness,No,2025-02-11
55513,2025-02-10 18:48:51,Direct Traffic,-,Yes,2025-02-10
41115,2025-02-11 10:54:58,Referral,Discount Offer,No,2025-02-11
37591,2025-02-10 11:25:26,Social Media,-,No,2025-02-10
64747,2025-02-11 19:28:35,Search Ads,Discount Offer,Yes,2025-02-11
11741,2025-02-10 23:08:27,Display Ads,Discount Offer,Yes,2025-02-10
64742,2025-02-10 05:31:52,Referral,Brand Awareness,No,2025-02-10
27814,2025-02-11 19:32:41,Referral,Winter Sale,No,2025-02-11
86886,2025-02-10 03:11:30,Display Ads,-,No,2025-02-10
62107,2025-02-11 09:05:59,Direct Traffic,-,No,2025-02-11
33292,2025-02-10 21:20:04,Search Ads,Brand Awareness,Yes,2025-02-10
22943,2025-02-10 20:48:55,Referral,Winter Sale,No,2025-02-10
69192,2025-02-11 07:01:52,Social Media,Retargeting,Yes,2025-02-11
96142,2025-02-10 20:29:56,Search Ads,Winter Sale,No,2025-02-10
11661,2025-02-11 22:42:16,Display Ads,Brand Awareness,Yes,2025-02-11
85049,2025-02-10 15:54:07,Referral,Retargeting,No,2025-02-10
15259,2025-02-10 16:01:18,Direct Traffic,-,No,2025-02-10
33255,2025-02-10 22:58:23,Email,Brand Awareness,Yes,2025-02-10
67455,2025-02-10 15:58:31,Search Ads,New Product Launch,No,2025-02-10
79019,2025-02-11 22:39:00,Display Ads,Retargeting,No,2025-02-11
16255,2025-02-10 23:02:35,Social Media,Retargeting,No,2025-02-10
31185,2025-02-11 01:16:47,Search Ads,Winter Sale,No,2025-02-11
24014,2025-02-11 23:46:49,Email,Retargeting,Yes,2025-02-11
16814,2025-02-10 19:15:22,Display Ads,Brand Awareness,No,2025-02-10
35664,2025-02-10 05:30:12,Social Media,Winter Sale,Yes,2025-02-10
95461,2025-02-10 12:54:25,Search Ads,Discount Offer,Yes,2025-02-10
49375,2025-02-10 13:47:35,Social Media,Brand Awareness,Yes,2025-02-10
35887,2025-02-10 15:59:57,Search Ads,New Product Launch,No,2025-02-10
80259,2025-02-10 16:50:29,Direct Traffic,-,No,2025-02-10
26511,2025-02-10 20:05:37,Direct Traffic,-,Yes,2025-02-10
97446,2025-02-10 20:35:54,Display Ads,Winter Sale,No,2025-02-10
22863,2025-02-11 00:23:20,Social Media,Brand Awareness,Yes,2025-02-11
17784,2025-02-10 09:53:30,Email,Discount Offer,Yes,2025-02-10
12275,2025-02-11 01:57:29,Email,Discount Offer,No,2025-02-11
99782,2025-02-10 18:55:01,Search Ads,New Product Launch,Yes,2025-02-10
65082,2025-02-10 17:15:14,Referral,Brand Awareness,Yes,2025-02-10
62061,2025-02-11 18:51:56,Email,New Product Launch,No,2025-02-11
85426,2025-02-11 12:37:28,Display Ads,-,No,2025-02-11
86085,2025-02-10 07:19:39,Search Ads,Discount Offer,No,2025-02-10
60022,2025-02-11 08:24:05,Direct Traffic,-,Yes,2025-02-11
52397,2025-02-10 05:23:39,Search Ads,Winter Sale,No,2025-02-10
12755,2025-02-11 16:54:18,Email,Discount Offer,No,2025-02-11
78560,2025-02-10 07:58:09,Search Ads,Retargeting,No,2025-02-10
38252,2025-02-11 12:29:26,Referral,Discount Offer,No,2025-02-11
29719,2025-02-10 15:45:10,Social Media,Brand Awareness,No,2025-02-10
23415,2025-02-10 02:47:31,Email,-,No,2025-02-10
90548,2025-02-11 00:23:48,Direct Traffic,-,No,2025-02-11
98152,2025-02-11 20:36:19,Social Media,Retargeting,Yes,2025-02-11
73373,2025-02-11 00:17:59,Display Ads,Discount Offer,No,2025-02-11
48639,2025-02-11 23:22:49,Email,New Product Launch,Yes,2025-02-11
62843,2025-02-11 23:37:01,Display Ads,Brand Awareness,No,2025-02-11
51664,2025-02-11 19:00:01,Social Media,-,Yes,2025-02-11
58703,2025-02-11 00:58:01,Direct Traffic,-,No,2025-02-11
24215,2025-02-11 22:05:57,Search Ads,Brand Awareness,No,2025-02-11
45575,2025-02-11 15:08:18,Display Ads,-,No,2025-02-11
34498,2025-02-11 14:25:28,Display Ads,Discount Offer,Yes,2025-02-11
77091,2025-02-11 14:22:22,Display Ads,Brand Awareness,Yes,2025-02-11
15233,2025-02-10 11:19:05,Search Ads,-,Yes,2025-02-10
22741,2025-02-10 13:15:41,Email,Discount Offer,No,2025-02-10
77184,2025-02-11 07:44:07,Display Ads,Discount Offer,No,2025-02-11
51068,2025-02-10 19:43:05,Social Media,New Product Launch,No,2025-02-10
44397,2025-02-10 11:03:25,Social Media,Retargeting,No,2025-02-10
21910,2025-02-11 21:08:42,Referral,-,Yes,2025-02-11
57372,2025-02-11 13:58:45,Social Media,-,No,2025-02-11
19385,2025-02-10 09:34:30,Referral,New Product Launch,Yes,2025-02-10
90632,2025-02-10 18:41:16,Search Ads,New Product Launch,No,2025-02-10
79192,2025-02-10 23:30:42,Referral,New Product Launch,No,2025-02-10
37386,2025-02-11 19:56:31,Direct Traffic,-,Yes,2025-02-11
85049,2025-02-11 21:08:34,Search Ads,Brand Awareness,No,2025-02-11
75328,2025-02-11 17:33:26,Social Media,Retargeting,No,2025-02-11
39158,2025-02-10 16:51:40,Social Media,Retargeting,Yes,2025-02-10
55745,2025-02-10 10:16:21,Referral,Brand Awareness,No,2025-02-10
84203,2025-02-10 17:54:22,Social Media,-,Yes,2025-02-10
40965,2025-02-11 17:37:44,Email,Retargeting,Yes,2025-02-11
95461,2025-02-10 20:32:39,Referral,Winter Sale,No,2025-02-10
85486,2025-02-10 13:01:00,Social Media,Brand Awareness,Yes,2025-02-10
22773,2025-02-10 13:43:51,Social Media,Discount Offer,Yes,2025-02-10
91904,2025-02-10 06:04:14,Email,-,Yes,2025-02-10
25246,2025-02-11 13:24:14,Referral,-,No,2025-02-11
54106,2025-02-10 10:39:04,Social Media,Brand Awareness,No,2025-02-10
11741,2025-02-11 12:51:55,Referral,Discount Offer,No,2025-02-11
10442,2025-02-10 19:54:14,Search Ads,Winter Sale,Yes,2025-02-10
15891,2025-02-11 23:45:00,Direct Traffic,-,No,2025-02-11
26541,2025-02-11 15:53:39,Email,Discount Offer,Yes,2025-02-11
46911,2025-02-10 21:47:23,Search Ads,Brand Awareness,Yes,2025-02-10
96598,2025-02-10 02:05:19,Search Ads,-,No,2025-02-10
72959,2025-02-10 20:08:09,Direct Traffic,-,No,2025-02-10
54070,2025-02-11 22:28:14,Direct Traffic,-,No,2025-02-11
65082,2025-02-11 05:01:15,Direct Traffic,-,No,2025-02-11
52320,2025-02-11 22:04:56,Search Ads,Discount Offer,No,2025-02-11
75095,2025-02-11 17:13:08,Social Media,Retargeting,No,2025-02-11
11831,2025-02-10 13:11:24,Social Media,Discount Offer,Yes,2025-02-10
37382,2025-02-10 10:14:45,Display Ads,Retargeting,Yes,2025-02-10
45750,2025-02-10 10:13:23,Display Ads,Brand Awareness,Yes,2025-02-10
18298,2025-02-10 23:36:37,Search Ads,Brand Awareness,Yes,2025-02-10
47795,2025-02-11 14:49:50,Social Media,Winter Sale,No,2025-02-11
72028,2025-02-10 06:52:36,Social Media,Brand Awareness,Yes,2025-02-10
85844,2025-02-11 02:33:32,Display Ads,Winter Sale,Yes,2025-02-11
34498,2025-02-10 11:52:29,Referral,Brand Awareness,Yes,2025-02-10
23781,2025-02-10 23:34:42,Social Media,Winter Sale,Yes,2025-02-10
53293,2025-02-11 14:39:34,Direct Traffic,-,No,2025-02-11
35006,2025-02-11 19:52:27,Direct Traffic,-,No,2025-02-11
64767,2025-02-10 23:08:12,Social Media,Winter Sale,Yes,2025-02-10
40517,2025-02-11 05:27:52,Display Ads,Brand Awareness,Yes,2025-02-11
50839,2025-02-10 04:34:13,Referral,Discount Offer,No,2025-02-10
37121,2025-02-10 23:04:44,Social Media,Discount Offer,No,2025-02-10
72095,2025-02-11 03:45:27,Social Media,Winter Sale,No,2025-02-11
27371,2025-02-10 15:45:58,Email,Retargeting,Yes,2025-02-10
99093,2025-02-11 10:46:48,Direct Traffic,-,No,2025-02-11
38468,2025-02-10 16:36:08,Direct Traffic,-,No,2025-02-10
77184,2025-02-11 03:02:45,Referral,Retargeting,No,2025-02-11
35409,2025-02-11 04:15:45,Email,Winter Sale,No,2025-02-11
57564,2025-02-10 08:20:50,Direct Traffic,-,Yes,2025-02-10
50653,2025-02-10 01:05:44,Direct Traffic,-,Yes,2025-02-10
58748,2025-02-10 21:08:08,Referral,-,No,2025-02-10
80527,2025-02-11 04:01:53,Social Media,-,No,2025-02-11
65871,2025-02-11 02:24:12,Referral,Winter Sale,No,2025-02-11
24876,2025-02-10 14:39:20,Search Ads,Brand Awareness,Yes,2025-02-10
76689,2025-02-11 06:10:09,Display Ads,-,Yes,2025-02-11
30460,2025-02-10 19:30:13,Search Ads,-,No,2025-02-10
33843,2025-02-11 21:25:53,Referral,New Product Launch,Yes,2025-02-11
