Date,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Competitor Pricing
2024-04-24,168.83333333333334,370,429,355,473.77500000000003,10.833333333333334,458.8766666666667
2024-04-25,167.33333333333334,378,371,364,378.7683333333334,8.333333333333334,381.12999999999994
2024-04-26,168.16666666666666,321,466,323,386.2516666666667,7.5,377.10166666666663
2024-04-27,187.33333333333334,337,508,326,344.17333333333335,5.833333333333333,351.15166666666664
2024-04-28,174.33333333333334,364,350,356,477.64166666666665,15.0,447.33
2024-04-29,178.83333333333334,351,415,355,328.0566666666667,6.666666666666667,348.4216666666667
2024-04-30,172.16666666666666,367,379,352,401.48499999999996,6.666666666666667,415.60833333333335
2024-05-01,181.16666666666666,347,377,346,360.7183333333333,12.5,347.15166666666664
2024-05-02,175.66666666666666,353,441,359,343.3633333333333,9.166666666666666,357.58166666666665
2024-05-03,170.0,336,436,337,242.06000000000003,15.0,242.92
2024-05-04,165.16666666666666,348,425,340,405.685,9.166666666666666,413.99
2024-05-05,196.5,380,344,373,424.5083333333334,10.833333333333334,417.27833333333336
2024-05-06,178.83333333333334,373,434,379,360.0316666666667,3.3333333333333335,360.7383333333333
2024-05-07,185.0,343,436,333,390.91,12.5,380.39000000000004
2024-05-08,195.5,342,438,339,431.83500000000004,10.0,431.41333333333336
2024-05-09,184.16666666666666,337,451,310,308.10999999999996,15.0,310.28666666666663
2024-05-10,174.66666666666666,340,398,331,288.9716666666667,6.666666666666667,298.7
2024-05-11,171.33333333333334,339,397,346,316.74,10.0,301.25333333333333
2024-05-12,181.0,331,393,349,287.625,5.0,286.335
2024-05-13,169.33333333333334,374,436,395,463.91,12.5,462.155
2024-05-14,168.33333333333334,336,397,350,385.8866666666667,12.5,396.43833333333333
2024-05-15,176.66666666666666,353,405,362,358.77833333333336,16.666666666666668,368.33833333333337
2024-05-16,183.83333333333334,340,394,333,407.74,9.166666666666666,413.74500000000006
2024-05-17,179.16666666666666,342,447,322,450.6166666666666,7.5,450.0
2024-05-18,194.16666666666666,358,408,341,246.8183333333333,15.0,242.54166666666666
2024-05-19,195.33333333333334,332,433,333,389.02833333333336,5.833333333333333,380.21000000000004
2024-05-20,177.16666666666666,376,313,390,364.41166666666663,12.5,358.00666666666666
2024-05-21,190.83333333333334,352,339,342,442.825,8.333333333333334,431.345
2024-05-22,164.5,371,379,386,377.4166666666667,9.166666666666666,378.155
2024-05-23,197.5,441,468,453,412.4983333333333,10.0,408.17333333333335
2024-05-24,159.16666666666666,362,382,361,412.68,8.333333333333334,436.09833333333336
2024-05-25,184.83333333333334,326,387,340,345.8866666666667,5.833333333333333,354.6766666666667
2024-05-26,184.33333333333334,374,469,388,329.9816666666666,10.833333333333334,322.67833333333334
2024-05-27,187.16666666666666,366,474,381,394.945,9.166666666666666,395.39000000000004
2024-05-28,185.5,322,444,328,333.02333333333337,8.333333333333334,345.46166666666664
2024-05-29,181.16666666666666,391,423,371,387.20666666666665,10.0,390.28
2024-05-30,190.16666666666666,372,374,376,314.835,9.166666666666666,316.4683333333333
2024-05-31,187.0,330,479,333,370.50333333333333,8.333333333333334,379.25333333333333
2024-06-01,188.0,391,441,399,314.96166666666664,8.333333333333334,307.27333333333337
2024-06-02,177.5,350,371,352,306.9166666666667,8.333333333333334,310.17
2024-06-03,168.16666666666666,372,465,371,453.27333333333337,13.333333333333334,444.0466666666666
2024-06-04,205.0,361,438,356,338.54,12.5,346.0416666666667
2024-06-05,192.33333333333334,416,383,403,364.47499999999997,6.666666666666667,371.5566666666667
2024-06-06,182.33333333333334,376,403,401,390.0183333333334,10.0,380.76666666666665
2024-06-07,173.83333333333334,379,397,377,352.65333333333336,6.666666666666667,349.51
2024-06-08,166.0,325,332,320,414.9066666666667,11.666666666666666,432.3883333333333
2024-06-09,175.33333333333334,356,424,365,350.935,13.333333333333334,344.1016666666667
2024-06-10,156.66666666666666,319,471,314,298.98,2.5,298.53666666666663
2024-06-11,170.33333333333334,346,389,380,362.82166666666666,8.333333333333334,362.50666666666666
2024-06-12,170.16666666666666,337,374,327,285.93666666666667,10.833333333333334,295.37
2024-06-13,191.0,369,359,370,455.27500000000003,10.0,463.5116666666666
2024-06-14,188.0,361,438,351,368.03000000000003,8.333333333333334,361.0016666666667
2024-06-15,196.33333333333334,389,400,383,372.0466666666666,5.833333333333333,389.1333333333334
2024-06-16,177.83333333333334,327,382,326,194.85666666666665,3.3333333333333335,198.33
2024-06-17,167.66666666666666,344,458,357,383.43833333333333,6.666666666666667,392.74
2024-06-18,166.5,342,381,347,389.9433333333333,10.0,399.055
2024-06-19,181.16666666666666,354,473,344,336.21166666666664,9.166666666666666,343.80333333333334
2024-06-20,172.16666666666666,313,414,314,385.10833333333335,12.5,379.4883333333334
2024-06-21,190.16666666666666,325,413,338,301.2716666666667,9.166666666666666,299.2133333333333
2024-06-22,181.5,360,477,377,365.41,10.833333333333334,364.0133333333333
2024-06-23,159.5,354,384,369,380.91,7.5,394.41499999999996
2024-06-24,182.66666666666666,333,443,340,390.7916666666667,10.0,401.5316666666667
2024-06-25,184.33333333333334,318,528,316,434.7366666666667,12.5,427.6383333333333
2024-06-26,187.33333333333334,355,423,344,426.8733333333333,10.833333333333334,436.6816666666667
2024-06-27,183.16666666666666,338,417,327,403.62833333333333,12.5,410.7183333333333
2024-06-28,165.5,377,425,385,411.59166666666664,14.166666666666666,419.2716666666667
