Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2024-01-04,103,1001,Electronics,North,158,67,53,72,561.69,10,Sunny,No,614.11,Winter
2024-01-04,103,1002,Electronics,South,158,65,47,57,292.61,5,Cloudy,No,317.78,Winter
2024-01-05,101,1001,Clothing,South,214,46,57,54,531.9,0,Cloudy,No,564.81,Winter
2024-01-05,101,1002,Electronics,West,187,47,73,51,186.72,0,Sunny,Yes,182.87,Winter
2024-01-05,102,1001,Electronics,North,169,60,98,68,166.81,10,Sunny,No,182.33,Winter
2024-01-05,102,1002,Electronics,South,210,51,67,57,464.78,15,Rainy,No,492.22,Winter
2024-01-05,103,1001,Electronics,North,138,54,58,46,349.06,0,Sunny,No,365.67,Winter
2024-01-05,103,1002,Electronics,South,233,79,85,73,261.48,10,Sunny,No,240.13,Winter
2024-01-06,101,1001,Grocery,North,164,56,61,52,329.33,5,Rainy,No,297.41,Winter
2024-01-06,101,1002,Electronics,West,180,73,81,69,457.78,5,Cloudy,No,474.0,Winter
2024-01-06,102,1001,Grocery,East,185,47,77,50,323.75,0,Sunny,Yes,297.9,Winter
2024-01-06,102,1002,Grocery,South,167,65,73,64,323.43,5,Rainy,No,323.17,Winter
2024-01-06,103,1001,Clothing,North,213,47,76,42,229.85,0,Cloudy,No,223.97,Winter
2024-01-06,103,1002,Clothing,North,163,59,87,55,257.37,20,Cloudy,Yes,278.09,Winter
2024-01-07,101,1001,Electronics,East,180,75,80,83,174.07,20,Sunny,No,189.74,Winter
2024-01-07,101,1002,Clothing,West,182,56,78,62,187.48,20,Sunny,No,176.71,Winter
2024-01-07,102,1001,Grocery,North,190,81,71,78,187.85,20,Rainy,No,174.57,Winter
2024-01-07,102,1002,Grocery,West,140,60,71,59,318.42,0,Sunny,No,349.37,Winter
2024-01-07,103,1001,Electronics,South,214,52,39,50,345.5,20,Rainy,Yes,319.16,Winter
2024-01-07,103,1002,Grocery,North,188,78,57,70,456.47,15,Cloudy,No,418.39,Winter
2024-01-08,101,1001,Electronics,West,208,29,41,36,387.47,10,Cloudy,No,354.57,Winter
2024-01-08,101,1002,Grocery,South,168,67,61,73,354.54,20,Cloudy,No,322.31,Winter
2024-01-08,102,1001,Grocery,West,204,58,48,53,358.66,5,Sunny,No,393.54,Winter
2024-01-08,102,1002,Electronics,North,188,69,98,61,335.04,20,Rainy,Yes,364.56,Winter
2024-01-08,103,1001,Grocery,North,136,80,72,76,161.87,0,Rainy,No,150.55,Winter
2024-01-08,103,1002,Electronics,East,137,72,90,80,527.25,5,Cloudy,No,480.47,Winter
2024-01-09,101,1001,Electronics,North,187,63,92,59,490.69,10,Rainy,No,466.3,Winter
2024-01-09,101,1002,Clothing,West,158,63,59,55,452.27,5,Cloudy,No,454.11,Winter
2024-01-09,102,1001,Electronics,North,218,61,72,57,189.78,10,Cloudy,Yes,199.46,Winter
2024-01-09,102,1002,Grocery,South,217,73,83,71,211.37,15,Rainy,No,206.81,Winter
2024-01-09,103,1001,Clothing,North,176,70,73,76,328.44,5,Sunny,No,325.77,Winter
2024-01-09,103,1002,Grocery,North,191,33,78,29,591.01,20,Rainy,No,560.29,Winter
2024-01-10,101,1001,Electronics,West,156,64,62,58,543.44,10,Rainy,No,513.43,Winter
2024-01-10,101,1002,Grocery,North,167,47,85,48,229.65,20,Sunny,No,216.16,Winter
2024-01-10,102,1001,Clothing,West,122,60,68,66,432.56,10,Sunny,Yes,464.42,Winter
2024-01-10,102,1002,Clothing,South,184,60,58,66,391.47,5,Rainy,No,355.2,Winter
2024-01-10,103,1001,Grocery,South,155,70,70,76,163.71,5,Cloudy,No,150.77,Winter
2024-01-10,103,1002,Grocery,West,160,71,78,69,294.94,5,Sunny,No,300.46,Winter
2024-01-11,101,1001,Clothing,South,196,72,56,78,481.57,0,Sunny,No,520.06,Winter
2024-01-11,101,1002,Electronics,North,144,59,78,63,298.66,0,Rainy,No,290.62,Winter
2024-01-11,102,1001,Grocery,West,178,74,72,76,539.48,0,Rainy,No,585.81,Winter
2024-01-11,102,1002,Grocery,West,231,70,94,74,496.27,5,Cloudy,Yes,519.72,Winter
2024-01-11,103,1001,Clothing,East,186,82,66,84,569.41,20,Sunny,No,564.2,Winter
2024-01-11,103,1002,Electronics,East,229,61,99,54,295.06,5,Sunny,Yes,272.44,Winter
2024-01-12,101,1001,Grocery,South,164,88,66,84,523.78,15,Sunny,No,569.7,Winter
2024-01-12,101,1002,Grocery,West,192,61,93,60,522.57,20,Rainy,No,489.79,Winter
2024-01-12,102,1001,Electronics,South,147,67,65,68,326.6,10,Sunny,No,326.78,Winter
2024-01-12,102,1002,Clothing,East,188,67,66,60,394.6,10,Rainy,No,404.68,Winter
2024-01-12,103,1001,Grocery,North,169,49,77,47,407.92,20,Sunny,No,430.65,Winter
2024-01-12,103,1002,Grocery,North,171,74,63,67,493.11,10,Rainy,No,454.71,Winter
2024-01-13,101,1001,Clothing,East,168,75,63,78,497.35,10,Cloudy,No,518.85,Winter
2024-01-13,101,1002,Grocery,East,209,53,75,54,304.14,5,Rainy,No,304.5,Winter
2024-01-13,102,1001,Electronics,West,181,57,96,53,468.26,5,Cloudy,No,461.15,Winter
2024-01-13,102,1002,Electronics,South,184,67,71,69,352.88,20,Rainy,Yes,376.7,Winter
2024-01-13,103,1001,Grocery,West,152,45,78,51,174.64,0,Sunny,Yes,168.82,Winter
2024-01-13,103,1002,Clothing,South,201,43,35,45,565.33,5,Cloudy,No,534.19,Winter
2024-01-14,101,1001,Electronics,North,176,46,69,43,165.25,0,Cloudy,No,156.0,Winter
2024-01-14,101,1002,Grocery,South,181,44,47,52,582.48,0,Cloudy,No,582.74,Winter
2024-01-14,102,1001,Grocery,North,183,51,58,59,166.45,10,Rainy,No,167.37,Winter
2024-01-14,102,1002,Electronics,West,141,68,111,65,494.41,15,Sunny,Yes,519.45,Winter
2024-01-14,103,1001,Electronics,East,172,66,91,64,446.52,0,Cloudy,No,461.87,Winter
2024-01-14,103,1002,Clothing,West,166,61,77,53,400.52,5,Rainy,No,425.1,Winter
2024-01-15,101,1001,Clothing,West,153,56,60,57,188.48,20,Sunny,No,193.87,Winter
2024-01-15,101,1002,Clothing,South,193,56,73,52,303.82,5,Cloudy,No,289.73,Winter
2024-01-15,102,1001,Grocery,West,223,44,38,47,248.78,5,Sunny,No,248.15,Winter
2024-01-15,102,1002,Grocery,North,182,80,72,88,368.15,0,Rainy,No,350.32,Winter
2024-01-15,103,1001,Clothing,South,175,62,70,66,461.05,20,Rainy,No,490.1,Winter
2024-01-15,103,1002,Clothing,North,161,64,69,60,443.14,5,Rainy,Yes,422.2,Winter
2024-01-16,101,1001,Grocery,North,157,70,80,68,407.98,0,Rainy,No,371.01,Winter
2024-01-16,101,1002,Electronics,East,192,44,59,39,496.94,20,Cloudy,No,518.71,Winter
2024-01-16,102,1001,Clothing,West,136,66,101,62,367.69,5,Cloudy,No,334.7,Winter
2024-01-16,102,1002,Electronics,North,244,56,68,49,430.5,5,Sunny,No,422.99,Winter
2024-01-16,103,1001,Grocery,South,220,69,58,65,151.05,10,Rainy,Yes,145.45,Winter
2024-01-16,103,1002,Clothing,North,196,59,85,67,233.31,10,Sunny,No,242.28,Winter
2024-01-17,101,1001,Clothing,North,195,54,47,54,574.83,5,Cloudy,No,571.75,Winter
2024-01-17,101,1002,Clothing,East,161,59,64,57,283.81,5,Sunny,No,304.36,Winter
2024-01-17,102,1001,Clothing,West,202,54,48,58,184.63,20,Rainy,No,168.58,Winter
2024-01-17,102,1002,Grocery,West,190,66,41,70,431.65,20,Rainy,No,428.36,Winter
2024-01-17,103,1001,Grocery,North,150,54,108,57,592.84,5,Cloudy,No,621.01,Winter
2024-01-17,103,1002,Grocery,South,169,52,65,57,283.65,5,Sunny,Yes,256.3,Winter
2024-01-18,101,1001,Electronics,North,185,59,93,62,580.39,20,Cloudy,No,636.38,Winter
2024-01-18,101,1002,Clothing,West,186,48,83,52,595.13,15,Sunny,No,607.95,Winter
2024-01-18,102,1001,Electronics,South,181,41,62,49,580.77,20,Cloudy,No,582.89,Winter
2024-01-18,102,1002,Grocery,North,195,52,106,53,381.86,5,Cloudy,No,360.81,Winter
2024-01-18,103,1001,Clothing,West,142,62,93,55,355.84,10,Sunny,No,388.27,Winter
2024-01-18,103,1002,Clothing,South,187,81,75,80,569.22,10,Cloudy,Yes,591.5,Winter
2024-01-19,101,1001,Clothing,North,164,60,83,54,306.51,5,Sunny,No,307.81,Winter
2024-01-19,101,1002,Electronics,North,170,60,78,67,468.76,10,Sunny,No,479.88,Winter
2024-01-19,102,1001,Grocery,South,192,52,64,50,222.34,15,Sunny,No,200.39,Winter
2024-01-19,102,1002,Electronics,East,200,49,47,57,401.93,5,Rainy,No,363.22,Winter
2024-01-19,103,1001,Grocery,West,174,74,52,70,196.13,15,Cloudy,Yes,206.76,Winter
2024-01-19,103,1002,Clothing,East,174,55,97,60,588.07,20,Sunny,No,536.98,Winter
2024-01-20,101,1001,Electronics,East,208,54,61,47,273.13,20,Sunny,No,274.61,Winter
2024-01-20,101,1002,Grocery,East,166,68,83,61,497.77,15,Cloudy,No,543.89,Winter
2024-01-20,102,1001,Electronics,West,165,37,87,30,245.9,0,Rainy,No,244.58,Winter
2024-01-20,102,1002,Clothing,East,188,48,76,54,354.16,5,Sunny,Yes,321.05,Winter
2024-01-20,103,1001,Electronics,South,197,62,68,67,419.25,15,Sunny,Yes,431.95,Winter
2024-01-20,103,1002,Electronics,West,202,77,44,76,289.66,20,Sunny,Yes,283.43,Winter
2024-01-21,101,1001,Clothing,South,167,89,85,81,578.69,0,Cloudy,Yes,548.83,Winter
2024-01-21,101,1002,Electronics,South,240,46,69,38,401.84,5,Sunny,Yes,389.84,Winter
2024-01-21,102,1001,Electronics,West,172,47,96,53,240.07,15,Cloudy,Yes,259.09,Winter
2024-01-21,102,1002,Grocery,West,222,67,90,67,469.08,5,Rainy,No,467.62,Winter
2024-01-21,103,1001,Grocery,South,229,67,90,61,168.34,15,Cloudy,No,171.48,Winter
2024-01-21,103,1002,Clothing,North,172,65,102,70,301.6,20,Cloudy,Yes,281.19,Winter
2024-01-22,101,1001,Clothing,West,130,66,57,60,249.25,0,Sunny,No,260.57,Winter
2024-01-22,101,1002,Grocery,North,167,59,93,54,480.91,15,Cloudy,No,475.01,Winter
2024-01-22,102,1001,Electronics,East,224,58,45,61,322.73,5,Sunny,Yes,336.66,Winter
2024-01-22,102,1002,Electronics,East,188,53,65,57,346.72,15,Rainy,No,336.96,Winter
2024-01-22,103,1001,Clothing,North,187,46,75,39,536.09,20,Sunny,No,507.64,Winter
2024-01-22,103,1002,Grocery,North,176,58,84,65,383.9,5,Sunny,No,390.65,Winter
2024-01-23,101,1001,Clothing,East,142,44,45,47,363.58,0,Rainy,No,335.36,Winter
2024-01-23,101,1002,Electronics,East,178,74,69,70,571.47,20,Cloudy,No,621.06,Winter
2024-01-23,102,1001,Grocery,West,130,60,83,66,384.78,15,Cloudy,Yes,370.0,Winter
2024-01-23,102,1002,Clothing,West,156,64,79,63,586.46,0,Sunny,No,629.64,Winter
2024-01-23,103,1001,Clothing,West,157,66,69,74,523.89,0,Sunny,No,542.38,Winter
2024-01-23,103,1002,Grocery,West,195,84,52,91,443.05,5,Rainy,No,403.02,Winter
2024-01-24,101,1001,Grocery,North,188,59,74,63,279.91,10,Rainy,No,289.29,Winter
2024-01-24,101,1002,Clothing,North,194,65,80,65,292.74,20,Rainy,No,263.8,Winter
2024-01-24,102,1001,Clothing,West,143,46,93,38,256.89,0,Rainy,Yes,262.2,Winter
2024-01-24,102,1002,Grocery,West,207,49,93,54,375.2,20,Rainy,No,339.6,Winter
2024-01-24,103,1001,Clothing,South,141,46,91,49,364.51,10,Rainy,No,397.72,Winter
2024-01-24,103,1002,Electronics,North,173,38,75,40,321.03,15,Rainy,Yes,299.61,Winter
2024-01-25,101,1001,Grocery,South,238,65,77,59,411.42,5,Rainy,No,404.31,Winter
2024-01-25,101,1002,Clothing,East,176,62,67,65,231.65,20,Cloudy,Yes,234.77,Winter
2024-01-25,102,1001,Clothing,South,178,76,61,77,200.54,20,Rainy,No,204.29,Winter
2024-01-25,102,1002,Grocery,East,194,60,87,61,555.01,0,Sunny,No,580.76,Winter
2024-01-25,103,1001,Electronics,East,202,65,78,66,353.3,5,Sunny,No,378.94,Winter
2024-01-25,103,1002,Clothing,West,175,68,68,75,290.52,10,Cloudy,No,284.18,Winter
2024-01-26,101,1001,Clothing,West,244,58,57,56,476.03,10,Rainy,Yes,497.39,Winter
2024-01-26,101,1002,Electronics,West,139,79,78,84,269.2,20,Cloudy,No,262.04,Winter
2024-01-26,102,1001,Grocery,West,141,73,88,69,181.47,20,Rainy,No,171.7,Winter
2024-01-26,102,1002,Grocery,North,146,57,67,50,597.36,5,Cloudy,No,593.2,Winter
2024-01-26,103,1001,Clothing,West,162,61,55,68,334.27,0,Sunny,No,366.44,Winter
2024-01-26,103,1002,Electronics,North,121,67,62,66,159.01,15,Rainy,No,162.94,Winter
2024-01-27,101,1001,Grocery,West,172,62,72,59,221.69,20,Sunny,No,214.67,Winter
2024-01-27,101,1002,Grocery,East,141,58,52,58,379.38,10,Rainy,No,380.57,Winter
2024-01-27,102,1001,Grocery,South,200,59,71,53,453.44,5,Rainy,Yes,427.32,Winter
2024-01-27,102,1002,Clothing,South,166,58,84,52,228.09,5,Rainy,No,234.52,Winter
2024-01-27,103,1001,Clothing,North,184,57,106,62,228.68,10,Rainy,Yes,222.62,Winter
2024-01-27,103,1002,Grocery,North,192,56,70,60,571.4,15,Cloudy,No,538.95,Winter
2024-01-28,101,1001,Electronics,East,210,78,66,71,368.07,5,Cloudy,No,348.87,Winter
2024-01-28,101,1002,Clothing,West,164,77,65,84,461.23,0,Sunny,No,435.48,Winter
2024-01-28,102,1001,Clothing,East,154,65,77,61,548.97,20,Cloudy,No,584.93,Winter
2024-01-28,102,1002,Grocery,South,201,68,81,61,210.21,20,Cloudy,No,217.82,Winter
2024-01-28,103,1001,Electronics,North,150,65,84,69,589.14,5,Sunny,Yes,594.79,Winter
2024-01-28,103,1002,Grocery,West,209,54,67,49,539.1,15,Cloudy,No,527.72,Winter
2024-01-29,101,1001,Electronics,South,174,77,59,69,514.0,20,Rainy,Yes,555.3,Winter
2024-01-29,101,1002,Clothing,North,233,72,60,65,323.86,0,Cloudy,No,301.2,Winter
2024-01-29,102,1001,Clothing,West,223,61,66,63,446.57,10,Sunny,No,467.78,Winter
2024-01-29,102,1002,Clothing,East,146,61,55,63,586.84,10,Cloudy,Yes,539.7,Winter
2024-01-29,103,1001,Clothing,North,197,74,84,74,321.87,5,Rainy,No,294.14,Winter
2024-01-29,103,1002,Clothing,West,179,50,78,51,509.42,15,Rainy,No,517.82,Winter
2024-01-30,101,1001,Clothing,North,194,68,57,74,199.86,5,Sunny,No,201.86,Winter
2024-01-30,101,1002,Electronics,East,152,64,64,67,238.86,0,Rainy,No,256.12,Winter
2024-01-30,102,1001,Clothing,West,159,70,88,69,401.02,15,Rainy,No,382.52,Winter
2024-01-30,102,1002,Clothing,South,223,58,74,51,209.28,15,Cloudy,No,194.66,Winter
2024-01-30,103,1001,Clothing,North,135,48,82,42,283.9,10,Rainy,No,291.64,Winter
2024-01-30,103,1002,Electronics,East,164,70,77,71,401.12,0,Sunny,No,376.57,Winter
2024-01-31,101,1001,Grocery,North,200,64,86,69,427.19,10,Sunny,No,429.25,Winter
2024-01-31,101,1002,Grocery,North,185,49,73,52,485.58,0,Sunny,No,510.47,Winter
2024-01-31,102,1001,Grocery,West,210,58,53,64,351.87,15,Rainy,No,344.24,Winter
2024-01-31,102,1002,Electronics,North,222,60,58,61,428.82,15,Sunny,No,427.19,Winter
2024-01-31,103,1001,Grocery,South,184,53,93,48,173.76,5,Cloudy,No,185.06,Winter
2024-01-31,103,1002,Grocery,North,159,84,69,88,485.67,5,Cloudy,No,487.64,Winter
2024-02-01,101,1001,Clothing,East,172,49,56,57,419.2,10,Sunny,No,431.15,Winter
2024-02-01,101,1002,Clothing,East,226,69,53,76,230.21,15,Sunny,No,216.53,Winter
2024-02-01,102,1001,Electronics,East,181,64,77,68,463.95,10,Sunny,Yes,496.68,Winter
2024-02-01,102,1002,Grocery,West,165,49,50,45,366.41,20,Sunny,No,376.02,Winter
2024-02-01,103,1001,Grocery,South,183,61,63,56,156.03,15,Rainy,No,148.13,Winter
2024-02-01,103,1002,Electronics,North,174,55,75,62,317.04,5,Rainy,Yes,316.25,Winter
2024-02-02,101,1001,Grocery,South,202,30,81,32,583.53,20,Rainy,No,639.7,Winter
2024-02-02,101,1002,Clothing,North,199,56,51,52,404.4,10,Sunny,No,392.23,Winter
2024-02-02,102,1001,Grocery,West,159,51,73,59,591.23,20,Rainy,No,625.72,Winter
2024-02-02,102,1002,Grocery,North,234,73,84,78,356.24,0,Sunny,No,381.18,Winter
2024-02-02,103,1001,Clothing,South,230,54,96,57,178.02,15,Cloudy,Yes,188.21,Winter
2024-02-02,103,1002,Clothing,South,163,47,58,42,490.54,20,Rainy,No,485.76,Winter
2024-02-03,101,1001,Clothing,South,178,70,67,67,317.37,0,Cloudy,No,346.85,Winter
2024-02-03,101,1002,Clothing,North,182,98,48,98,409.92,20,Cloudy,Yes,442.46,Winter
2024-02-03,102,1001,Clothing,South,206,26,51,33,535.73,10,Cloudy,No,497.23,Winter
2024-02-03,102,1002,Electronics,West,166,62,62,58,479.69,10,Rainy,No,439.73,Winter
2024-02-03,103,1001,Grocery,North,186,62,77,66,592.85,20,Rainy,Yes,638.14,Winter
2024-02-03,103,1002,Electronics,West,150,60,66,56,401.89,0,Rainy,No,392.17,Winter
2024-02-04,101,1001,Electronics,North,174,65,74,67,555.58,15,Rainy,No,597.78,Winter
2024-02-04,101,1002,Grocery,North,139,54,72,46,257.94,15,Cloudy,No,270.78,Winter
2024-02-04,102,1001,Clothing,North,218,74,84,76,529.68,10,Sunny,No,511.15,Winter
2024-02-04,102,1002,Electronics,West,168,54,73,52,225.21,15,Cloudy,No,231.65,Winter
2024-02-04,103,1001,Grocery,West,228,61,54,55,493.42,20,Rainy,No,467.05,Winter
2024-02-04,103,1002,Clothing,South,187,51,81,48,451.83,10,Rainy,No,484.77,Winter
2024-02-05,101,1001,Clothing,South,201,33,61,38,563.13,0,Cloudy,No,585.58,Winter
2024-02-05,101,1002,Electronics,West,205,58,100,64,352.43,20,Sunny,No,318.06,Winter
2024-02-05,102,1001,Clothing,West,172,37,45,42,484.44,15,Rainy,No,493.47,Winter
2024-02-05,102,1002,Clothing,East,177,69,67,77,278.38,15,Rainy,No,279.57,Winter
2024-02-05,103,1001,Grocery,West,185,48,84,40,161.31,15,Rainy,No,164.6,Winter
2024-02-05,103,1002,Electronics,North,176,66,84,65,576.65,15,Cloudy,No,578.08,Winter
2024-02-06,101,1001,Clothing,North,158,57,102,50,272.21,10,Sunny,No,267.15,Winter
2024-02-06,101,1002,Electronics,North,182,57,62,56,257.49,5,Sunny,No,263.8,Winter
2024-02-06,102,1001,Grocery,West,143,29,107,26,534.36,0,Cloudy,No,511.37,Winter
2024-02-06,102,1002,Electronics,West,120,51,48,52,282.07,0,Sunny,No,300.02,Winter
2024-02-06,103,1001,Electronics,East,182,72,63,74,170.18,10,Rainy,Yes,166.43,Winter
2024-02-06,103,1002,Electronics,South,194,60,75,64,423.56,0,Cloudy,No,442.31,Winter
2024-02-07,101,1001,Electronics,East,193,69,82,61,355.31,5,Cloudy,No,373.16,Winter
2024-02-07,101,1002,Clothing,North,192,45,67,45,440.9,10,Rainy,No,409.06,Winter
2024-02-07,102,1001,Electronics,North,153,65,73,59,390.29,5,Rainy,No,386.3,Winter
2024-02-07,102,1002,Clothing,East,175,80,58,76,205.35,0,Sunny,No,211.6,Winter
2024-02-07,103,1001,Grocery,West,201,65,97,65,287.84,5,Rainy,No,284.97,Winter
2024-02-07,103,1002,Clothing,North,217,51,76,50,550.34,5,Rainy,No,571.08,Winter
2024-02-08,101,1001,Clothing,North,169,46,53,38,305.64,15,Rainy,No,314.01,Winter
2024-02-08,101,1002,Grocery,West,165,57,66,59,290.05,20,Rainy,No,300.97,Winter
2024-02-08,102,1001,Clothing,South,151,59,70,61,211.11,5,Rainy,No,207.49,Winter
2024-02-08,102,1002,Electronics,South,139,54,56,60,369.53,5,Sunny,No,360.28,Winter
2024-02-08,103,1001,Electronics,North,149,28,70,32,423.09,15,Rainy,No,393.82,Winter
2024-02-08,103,1002,Clothing,South,223,61,103,55,286.05,20,Sunny,No,296.2,Winter
2024-02-09,101,1001,Clothing,West,167,67,51,61,217.73,5,Cloudy,No,227.94,Winter
2024-02-09,101,1002,Electronics,North,153,61,51,57,478.87,15,Sunny,No,452.8,Winter
2024-02-09,102,1001,Grocery,South,224,63,64,71,456.34,0,Rainy,Yes,452.93,Winter
2024-02-09,102,1002,Grocery,East,179,63,75,60,414.93,5,Sunny,No,410.05,Winter
2024-02-09,103,1001,Clothing,East,184,68,90,73,355.19,15,Cloudy,No,376.97,Winter
2024-02-09,103,1002,Electronics,North,184,50,69,49,534.28,0,Sunny,No,487.53,Winter
2024-02-10,101,1001,Grocery,East,205,58,104,65,493.17,20,Cloudy,No,457.11,Winter
2024-02-10,101,1002,Grocery,North,155,62,49,55,300.03,10,Rainy,Yes,329.9,Winter
2024-02-10,102,1001,Electronics,West,192,71,80,63,181.06,20,Sunny,No,193.59,Winter
2024-02-10,102,1002,Grocery,East,160,66,73,66,475.42,15,Rainy,No,480.09,Winter
2024-02-10,103,1001,Grocery,South,227,73,59,66,507.53,15,Rainy,No,486.75,Winter
2024-02-10,103,1002,Grocery,North,160,64,55,63,281.63,10,Cloudy,No,266.2,Winter
2024-02-11,101,1001,Grocery,West,180,60,45,68,473.91,5,Rainy,Yes,491.22,Winter
2024-02-11,101,1002,Electronics,East,200,74,55,80,398.63,15,Cloudy,No,390.77,Winter
2024-02-11,102,1001,Grocery,West,200,66,60,74,380.01,5,Rainy,No,346.77,Winter
2024-02-11,102,1002,Clothing,North,200,41,56,43,522.02,10,Cloudy,No,529.52,Winter
2024-02-11,103,1001,Electronics,North,150,37,72,45,459.16,5,Cloudy,No,475.31,Winter
2024-02-11,103,1002,Clothing,North,169,65,60,67,449.87,0,Cloudy,No,429.08,Winter
2024-02-12,101,1001,Grocery,East,169,86,33,86,364.19,5,Sunny,Yes,383.68,Winter
2024-02-12,101,1002,Grocery,East,210,59,65,52,245.4,0,Rainy,No,231.45,Winter
2024-02-12,102,1001,Grocery,West,220,71,58,69,206.58,10,Sunny,No,205.26,Winter
2024-02-12,102,1002,Electronics,South,159,54,72,56,315.5,0,Rainy,No,300.84,Winter
2024-02-12,103,1001,Grocery,West,151,41,66,47,298.61,15,Sunny,No,326.29,Winter
2024-02-12,103,1002,Grocery,West,230,28,73,35,497.81,15,Cloudy,No,455.63,Winter
2024-02-13,101,1001,Electronics,South,146,41,66,33,482.56,15,Cloudy,No,487.23,Winter
2024-02-13,101,1002,Electronics,South,188,44,81,46,523.39,0,Cloudy,No,477.93,Winter
2024-02-13,102,1001,Electronics,East,160,51,95,54,176.03,5,Sunny,No,181.34,Winter
2024-02-13,102,1002,Clothing,South,201,58,99,58,242.24,5,Sunny,No,255.87,Winter
2024-02-13,103,1001,Clothing,North,186,46,77,52,223.75,10,Sunny,No,216.47,Winter
2024-02-13,103,1002,Electronics,South,187,73,96,73,460.5,5,Sunny,No,435.66,Winter
2024-02-14,101,1001,Grocery,South,166,58,85,63,184.31,5,Rainy,No,167.5,Winter
2024-02-14,101,1002,Electronics,North,174,50,51,53,553.95,15,Cloudy,No,593.15,Winter
2024-02-14,102,1001,Grocery,West,188,60,63,57,430.05,5,Cloudy,No,417.58,Winter
2024-02-14,102,1002,Grocery,West,159,40,93,47,589.79,20,Rainy,No,559.99,Winter
2024-02-14,103,1001,Electronics,West,209,76,73,79,155.45,5,Rainy,No,141.34,Winter
2024-02-14,103,1002,Clothing,North,167,45,77,44,513.72,20,Sunny,No,530.41,Winter
2024-02-15,101,1001,Clothing,North,163,55,81,47,170.21,20,Cloudy,No,178.87,Winter
2024-02-15,101,1002,Electronics,East,133,57,85,61,262.95,15,Rainy,No,249.3,Winter
2024-02-15,102,1001,Clothing,North,156,60,63,55,411.73,10,Cloudy,No,439.7,Winter
2024-02-15,102,1002,Electronics,South,174,68,53,66,530.63,20,Cloudy,No,530.37,Winter
2024-02-15,103,1001,Clothing,West,146,64,61,62,164.76,0,Rainy,No,164.99,Winter
2024-02-15,103,1002,Grocery,North,211,47,64,46,171.44,15,Rainy,No,171.98,Winter
2024-02-16,101,1001,Grocery,South,178,52,75,52,150.01,0,Sunny,No,141.03,Winter
2024-02-16,101,1002,Grocery,East,204,57,67,63,236.0,15,Cloudy,No,232.03,Winter
2024-02-16,102,1001,Clothing,West,214,67,57,74,555.87,15,Rainy,No,565.95,Winter
2024-02-16,102,1002,Grocery,East,165,48,73,49,469.19,10,Rainy,No,511.63,Winter
2024-02-16,103,1001,Clothing,West,199,40,84,37,501.33,0,Sunny,No,534.17,Winter
2024-02-16,103,1002,Clothing,North,207,69,84,66,564.45,5,Rainy,No,511.49,Winter
2024-02-17,101,1001,Electronics,East,152,67,81,71,576.19,0,Rainy,Yes,609.17,Winter
2024-02-17,101,1002,Electronics,South,162,73,91,75,527.55,5,Rainy,No,499.59,Winter
