performance_date,channel,campaign,attribution_model,impressions,clicks,spend,conversions,revenue,users_reached,touchpoints,cpc,cac,roas
2025-02-27,Social Media,Festive Offer,Last Touch,34014,1287,49678.2,121,427009,18980,5,38.6,410.56,8.6
2025-01-26,Meta Ads,New Product Launch,Last Touch,48281,1200,24564.0,135,248535,24227,4,20.47,181.96,10.12
2025-04-26,Direct Traffic,Loyalty,Last Touch,24087,528,12133.44,38,116242,13209,2,22.98,319.3,9.58
2025-03-09,Direct Traffic,Loyalty,Linear,17964,817,29673.44,103,235664,11312,1,36.32,288.09,7.94
2025-01-16,Meta Ads,Winter Sale,Linear,42303,3184,98194.56,319,779955,34340,3,30.84,307.82,7.94
2025-05-09,Social Media,App Install,Last Touch,10271,573,31085.25,80,293760,7186,1,54.25,388.57,9.45
2025-01-24,Meta Ads,Loyalty,Linear,6359,508,21823.68,35,47740,6304,2,42.96,623.53,2.19
2025-05-01,Social Media,App Install,Last Touch,16894,1348,41343.16,205,322465,16147,3,30.67,201.67,7.8
2025-04-15,Email,Summer Sale,Linear,11855,847,21302.05,113,268940,11354,4,25.15,188.51,12.63
2025-05-21,Google Ads,App Install,First Touch,25612,900,12627.0,131,433217,12824,5,14.03,96.39,34.31
2025-04-29,Display Ads,Brand Awareness,First Touch,38976,1625,76927.5,201,866712,21179,2,47.34,382.72,11.27
2025-03-10,Social Media,Retargeting,Last Touch,33712,2455,81530.55,84,317520,24697,2,33.21,970.6,3.89
2025-03-21,Social Media,Brand Awareness,Linear,31738,812,48395.2,135,417150,31385,1,59.6,358.48,8.62
2025-06-15,Meta Ads,App Install,Linear,24127,1219,27086.18,189,592326,16056,4,22.22,143.31,21.87
2025-05-22,Meta Ads,Festive Offer,First Touch,44280,2235,120064.2,356,829836,35736,3,53.72,337.26,6.91
2025-05-10,Email,Brand Awareness,Last Touch,24566,1725,65826.0,222,401376,19599,5,38.16,296.51,6.1
2025-05-04,Email,Summer Sale,Linear,40614,1731,97818.81,277,1123512,28132,5,56.51,353.14,11.49
2025-04-09,Meta Ads,Festive Offer,First Touch,25852,1672,74688.24,253,703593,23799,2,44.67,295.21,9.42
2025-05-07,Google Ads,Retargeting,Linear,43678,1743,23042.46,273,438984,39073,4,13.22,84.4,19.05
2025-01-04,Direct Traffic,Retargeting,Last Touch,47911,3746,44539.94,551,1259035,35048,5,11.89,80.83,28.27
2025-06-27,Display Ads,Discount Offer,Last Touch,49194,3520,97715.2,272,1126896,40586,5,27.76,359.25,11.53
2025-01-10,Social Media,Discount Offer,First Touch,46363,2831,64943.14,181,284170,37401,1,22.94,358.8,4.38
2025-06-12,Direct Traffic,Discount Offer,Last Touch,15902,980,53880.4,36,160596,8410,3,54.98,1496.68,2.98
2025-04-02,Email,Festive Offer,First Touch,21003,1089,40761.27,162,307152,13369,1,37.43,251.61,7.54
2025-06-06,Display Ads,Loyalty,Linear,20783,1036,39699.52,67,255404,14552,4,38.32,592.53,6.43
2025-03-07,Direct Traffic,Brand Awareness,Last Touch,23850,1446,23439.66,139,363485,21551,3,16.21,168.63,15.51
2025-06-13,Display Ads,Winter Sale,Last Touch,24799,792,22176.0,81,175851,18647,5,28.0,273.78,7.93
2025-04-02,Social Media,Winter Sale,Linear,24348,519,26552.04,46,56718,21446,1,51.16,577.22,2.14
2025-06-05,Direct Traffic,App Install,Last Touch,20081,1133,29820.56,142,531506,14146,2,26.32,210.0,17.82
2025-06-10,Google Ads,Brand Awareness,Last Touch,33889,745,20092.65,37,89096,27649,4,26.97,543.04,4.43
2025-02-14,Meta Ads,Retargeting,Linear,28976,1502,83361.0,232,522464,27999,4,55.5,359.31,6.27
2025-03-17,Direct Traffic,Summer Sale,First Touch,35692,2775,42513.0,485,1925450,30868,5,15.32,87.66,45.29
2025-04-04,Google Ads,Festive Offer,First Touch,22331,1165,36872.25,152,600856,15460,5,31.65,242.58,16.3
2025-04-08,Direct Traffic,Summer Sale,First Touch,49226,1675,15577.5,272,951728,35361,5,9.3,57.27,61.1
2025-02-26,Direct Traffic,Discount Offer,Linear,35426,2641,62618.11,240,425280,19198,1,23.71,260.91,6.79
2025-03-19,Display Ads,Discount Offer,First Touch,20387,1493,22469.65,146,576116,19043,4,15.05,153.9,25.64
2025-05-31,Direct Traffic,Retargeting,Last Touch,47920,1243,41578.35,113,264985,25032,3,33.45,367.95,6.37
2025-02-25,Display Ads,App Install,First Touch,28768,746,32570.36,83,318803,20260,1,43.66,392.41,9.79
2025-04-12,Email,New Product Launch,First Touch,34800,887,16879.61,111,142857,19057,3,19.03,152.07,8.46
2025-03-04,Meta Ads,Loyalty,First Touch,9496,662,24374.84,78,168012,7439,2,36.82,312.5,6.89
2025-06-02,Google Ads,Winter Sale,First Touch,13519,708,35060.16,32,41760,7838,1,49.52,1095.63,1.19
2025-04-02,Meta Ads,Loyalty,Last Touch,6034,183,1961.76,25,83850,3482,1,10.72,78.47,42.74
2025-05-02,Display Ads,Summer Sale,Linear,43906,1165,39843.0,200,275400,43543,5,34.2,199.22,6.91
2025-03-19,Display Ads,Brand Awareness,First Touch,36390,2577,77748.09,119,489923,32729,1,30.17,653.35,6.3
2025-01-21,Email,Loyalty,First Touch,9304,256,10357.76,30,123480,7315,4,40.46,345.26,11.92
2025-06-02,Social Media,Winter Sale,Last Touch,38131,2147,28254.52,290,1125490,37131,2,13.16,97.43,39.83
2025-04-21,Display Ads,New Product Launch,Last Touch,27212,1895,54443.35,264,654720,20598,3,28.73,206.22,12.03
2025-06-20,Email,Summer Sale,First Touch,36081,866,44382.5,38,60610,30250,2,51.25,1167.96,1.37
2025-05-23,Google Ads,Loyalty,Linear,41810,1663,23880.68,138,541650,34763,1,14.36,173.05,22.68
2025-03-15,Social Media,Winter Sale,Last Touch,11789,644,12274.64,82,173676,6780,3,19.06,149.69,14.15
2025-05-23,Email,Discount Offer,Last Touch,42624,1430,43343.3,163,707909,41684,5,30.31,265.91,16.33
2025-06-22,Direct Traffic,Lead Gen,First Touch,44911,3401,173893.13,238,461244,31409,3,51.13,730.64,2.65
2025-03-28,Email,Brand Awareness,First Touch,14388,776,22379.84,39,147927,7445,1,28.84,573.84,6.61
2025-05-16,Meta Ads,Festive Offer,Last Touch,34730,1404,38244.96,194,849914,20148,1,27.24,197.14,22.22
2025-02-09,Meta Ads,Loyalty,First Touch,49169,1224,37992.96,114,420204,39068,4,31.04,333.27,11.06
2025-03-11,Meta Ads,Lead Gen,First Touch,27621,1264,28730.72,166,530038,22443,3,22.73,173.08,18.45
2025-01-12,Meta Ads,Festive Offer,Linear,8590,175,4142.25,10,17620,6388,3,23.67,414.23,4.25
2025-03-25,Google Ads,Brand Awareness,Last Touch,33223,1014,28158.78,137,445113,28216,1,27.77,205.54,15.81
2025-04-12,Direct Traffic,Brand Awareness,Last Touch,6228,296,3566.8,22,65076,5462,4,12.05,162.13,18.24
2025-06-13,Display Ads,Winter Sale,First Touch,31544,670,16676.3,100,373100,23310,3,24.89,166.76,22.37
2025-01-23,Display Ads,Discount Offer,First Touch,33552,1856,65424.0,165,407550,27901,2,35.25,396.51,6.23
2025-03-27,Meta Ads,Discount Offer,Linear,46499,1248,43080.96,207,544617,34753,2,34.52,208.12,12.64
2025-03-02,Google Ads,Retargeting,Last Touch,17928,545,8692.75,78,117624,11866,4,15.95,111.45,13.53
2025-04-29,Social Media,Loyalty,Last Touch,49638,3745,139875.75,469,1762502,35409,3,37.35,298.24,12.6
2025-02-08,Display Ads,Discount Offer,Last Touch,33980,1966,97140.06,233,615353,33614,1,49.41,416.91,6.33
2025-03-21,Display Ads,App Install,First Touch,8728,367,8415.31,46,72174,8517,4,22.93,182.94,8.58
2025-04-29,Social Media,Lead Gen,Linear,7688,361,18089.71,46,115736,6322,4,50.11,393.25,6.4
2025-05-09,Meta Ads,Brand Awareness,Last Touch,11783,808,41644.32,143,220935,10024,2,51.54,291.22,5.31
2025-01-11,Meta Ads,App Install,Last Touch,39345,2020,32825.0,173,407934,32366,4,16.25,189.74,12.43
2025-03-28,Direct Traffic,Loyalty,First Touch,46345,2726,31158.18,120,477360,35838,3,11.43,259.65,15.32
2025-03-06,Direct Traffic,Loyalty,First Touch,26847,668,28396.68,111,274170,24171,4,42.51,255.83,9.66
2025-02-03,Social Media,Discount Offer,Last Touch,41629,1773,87178.41,269,1060936,38062,1,49.17,324.08,12.17
2025-06-15,Direct Traffic,Festive Offer,Linear,28712,605,14556.3,104,270296,26908,4,24.06,139.96,18.57
2025-02-19,Meta Ads,Retargeting,First Touch,10057,379,18563.42,40,136400,9341,1,48.98,464.09,7.35
2025-06-19,Email,Loyalty,First Touch,44141,1880,30907.2,290,1263820,42541,2,16.44,106.58,40.89
2025-04-23,Google Ads,Festive Offer,Last Touch,49326,3116,182036.72,378,1618218,49191,4,58.42,481.58,8.89
2025-03-01,Social Media,New Product Launch,Last Touch,35737,2653,47992.77,349,1234064,32305,4,18.09,137.52,25.71
2025-03-14,Display Ads,Lead Gen,Linear,32437,2529,127663.92,379,669314,30521,3,50.48,336.84,5.24
2025-01-14,Direct Traffic,App Install,Last Touch,41342,3144,141448.56,337,576270,30011,1,44.99,419.73,4.07
2025-02-11,Email,App Install,Linear,14656,1023,13063.71,170,517990,14574,3,12.77,76.85,39.65
2025-01-07,Display Ads,Brand Awareness,Last Touch,37899,1608,45152.64,67,141973,19872,3,28.08,673.92,3.14
2025-01-26,Direct Traffic,Summer Sale,First Touch,14017,312,17378.4,31,54808,13224,4,55.7,560.59,3.15
2025-04-25,Social Media,Brand Awareness,First Touch,6245,220,11312.4,24,100272,5615,5,51.42,471.35,8.86
2025-04-19,Google Ads,Winter Sale,First Touch,24736,675,13770.0,84,315084,19857,1,20.4,163.93,22.88
2025-01-29,Display Ads,Loyalty,Linear,6077,351,13302.9,48,114864,4796,1,37.9,277.14,8.63
2025-06-07,Email,New Product Launch,Linear,32300,1009,43134.75,109,291793,17258,5,42.75,395.73,6.76
2025-05-20,Social Media,Lead Gen,Linear,6332,274,8891.3,34,92786,4204,1,32.45,261.51,10.44
2025-04-02,Google Ads,Summer Sale,First Touch,48063,2773,133436.76,388,993668,28402,1,48.12,343.91,7.45
2025-04-01,Social Media,Summer Sale,Linear,16474,1150,50140.0,203,641480,11223,2,43.6,247.0,12.79
2025-01-17,Direct Traffic,App Install,First Touch,24231,777,38181.78,126,313992,17195,5,49.14,303.03,8.22
2025-04-12,Social Media,App Install,Last Touch,7399,482,8647.08,40,175920,3894,3,17.94,216.18,20.34
2025-03-11,Google Ads,Summer Sale,Last Touch,31215,2016,109912.32,177,347805,23736,4,54.52,620.97,3.16
2025-04-05,Social Media,Winter Sale,First Touch,32820,811,31896.63,124,425816,26036,3,39.33,257.23,13.35
2025-01-27,Google Ads,Summer Sale,Linear,24375,935,36782.9,87,350175,19459,3,39.34,422.79,9.52
2025-04-25,Google Ads,Summer Sale,Linear,33504,1222,72049.12,210,316470,30062,3,58.96,343.09,4.39
2025-05-12,Direct Traffic,Retargeting,First Touch,14357,1018,44038.68,97,166549,7728,2,43.26,454.01,3.78
2025-06-15,Email,Summer Sale,Last Touch,42174,925,14781.5,90,244710,33277,4,15.98,164.24,16.56
2025-01-20,Social Media,Retargeting,Linear,29048,1274,53227.72,85,141440,14948,2,41.78,626.21,2.66
2025-05-08,Social Media,Festive Offer,Linear,12717,454,9779.16,44,163064,8697,4,21.54,222.25,16.67
2025-02-21,Google Ads,Retargeting,First Touch,34625,1051,47400.1,188,750684,27784,3,45.1,252.13,15.84
2025-01-17,Social Media,Lead Gen,Last Touch,24657,1752,78857.52,296,1128352,15180,3,45.01,266.41,14.31
2025-05-11,Meta Ads,Discount Offer,First Touch,14101,482,16238.58,40,141760,10072,4,33.69,405.96,8.73
2025-05-22,Meta Ads,Loyalty,First Touch,9308,358,21472.84,49,164297,8019,4,59.98,438.22,7.65
2025-05-28,Google Ads,Retargeting,Last Touch,47096,1151,37085.22,123,212175,41613,5,32.22,301.51,5.72
2025-02-16,Meta Ads,Festive Offer,Linear,8631,603,21068.82,45,83835,6958,2,34.94,468.2,3.98
2025-03-30,Social Media,Winter Sale,First Touch,21423,680,39256.4,48,180480,15672,5,57.73,817.84,4.6
2025-05-17,Google Ads,Lead Gen,Linear,16051,890,33989.1,49,184093,13928,5,38.19,693.66,5.42
2025-03-28,Social Media,Brand Awareness,First Touch,10323,234,9678.24,27,104409,6887,5,41.36,358.45,10.79
2025-04-17,Social Media,Brand Awareness,Last Touch,46101,2431,100594.78,183,403149,45495,4,41.38,549.7,4.01
2025-03-18,Display Ads,Discount Offer,Linear,8926,263,7787.43,26,67418,5639,3,29.61,299.52,8.66
2025-03-23,Direct Traffic,Summer Sale,Last Touch,13569,890,30954.2,40,87600,10605,1,34.78,773.86,2.83
2025-03-10,Display Ads,New Product Launch,First Touch,11344,261,14918.76,41,119392,7705,2,57.16,363.87,8.0
2025-03-25,Social Media,Summer Sale,First Touch,15442,770,26772.9,80,197040,11795,1,34.77,334.66,7.36
2025-01-24,Display Ads,Lead Gen,Last Touch,20776,683,17997.05,25,80675,20177,4,26.35,719.88,4.48
2025-03-15,Social Media,Brand Awareness,First Touch,33241,931,20249.25,79,225229,28611,1,21.75,256.32,11.12
2025-04-13,Google Ads,Loyalty,Linear,17756,741,17050.41,65,197860,13460,5,23.01,262.31,11.6
2025-06-24,Social Media,Discount Offer,First Touch,11336,494,24369.02,39,105183,6849,2,49.33,624.85,4.32
2025-06-04,Social Media,Festive Offer,Linear,7638,173,2617.49,13,40820,5946,4,15.13,201.35,15.6
2025-02-08,Social Media,Lead Gen,First Touch,26493,2010,49365.6,178,663050,25359,3,24.56,277.33,13.43
2025-06-01,Email,Lead Gen,Linear,39887,1970,73421.9,199,252332,32013,3,37.27,368.95,3.44
2025-06-22,Google Ads,Festive Offer,Linear,25163,1706,77998.32,227,297143,22360,4,45.72,343.6,3.81
2025-03-09,Direct Traffic,Loyalty,Linear,19912,1260,48308.4,70,264320,16185,2,38.34,690.12,5.47
2025-06-24,Meta Ads,Brand Awareness,Linear,12202,383,11846.19,35,101185,11757,2,30.93,338.46,8.54
2025-04-16,Social Media,Loyalty,Last Touch,9081,566,19793.02,64,250368,8458,5,34.97,309.27,12.65
2025-04-07,Email,Retargeting,Last Touch,39939,1619,42773.98,236,979872,28631,5,26.42,181.25,22.91
2025-05-04,Meta Ads,New Product Launch,Last Touch,41574,1576,89768.96,279,1215882,30257,2,56.96,321.75,13.54
2025-06-26,Direct Traffic,App Install,Last Touch,36444,1491,84316.05,222,515040,27652,1,56.55,379.8,6.11
2025-05-27,Direct Traffic,Lead Gen,Last Touch,30856,2132,122888.48,321,766869,16117,3,57.64,382.83,6.24
2025-01-21,Email,App Install,Linear,21806,1413,27030.69,217,501270,20111,3,19.13,124.57,18.54
2025-02-05,Google Ads,Loyalty,Linear,43458,1493,15885.52,247,524628,42633,2,10.64,64.31,33.03
2025-01-14,Google Ads,Festive Offer,Last Touch,35959,936,45002.88,28,96712,23154,4,48.08,1607.25,2.15
2025-06-17,Display Ads,App Install,Linear,18071,1181,27092.14,85,122570,10500,5,22.94,318.73,4.52
2025-03-01,Social Media,Brand Awareness,First Touch,32386,2362,40484.68,396,1119096,29102,4,17.14,102.23,27.64
2025-02-17,Direct Traffic,Winter Sale,First Touch,5607,212,8340.08,35,90020,3968,4,39.34,238.29,10.79
2025-06-14,Social Media,Lead Gen,Last Touch,13794,980,31693.2,57,94677,9605,2,32.34,556.02,2.99
2025-04-28,Direct Traffic,Winter Sale,Linear,17202,358,9139.74,26,103012,11765,2,25.53,351.53,11.27
2025-06-06,Direct Traffic,Festive Offer,Last Touch,38769,1538,44355.92,68,120700,35029,3,28.84,652.29,2.72
2025-03-05,Google Ads,Winter Sale,Last Touch,20435,956,20917.28,75,268875,19603,1,21.88,278.9,12.85
2025-03-08,Direct Traffic,Summer Sale,Linear,20486,486,6876.9,36,102960,18476,3,14.15,191.02,14.97
2025-06-26,Google Ads,Winter Sale,Last Touch,45280,1505,86958.9,153,468639,42488,3,57.78,568.36,5.39
2025-04-17,Direct Traffic,Lead Gen,Last Touch,40226,2740,139548.2,395,1574470,39636,1,50.93,353.29,11.28
2025-05-15,Display Ads,Lead Gen,Linear,28709,708,26436.72,27,92961,22635,2,37.34,979.14,3.52
2025-05-27,Social Media,Retargeting,First Touch,26503,1888,58490.24,249,1029864,22805,4,30.98,234.9,17.61
2025-01-24,Social Media,App Install,First Touch,34716,969,28682.4,111,387168,32509,3,29.6,258.4,13.5
2025-01-06,Display Ads,Winter Sale,First Touch,19280,1054,10919.44,86,125646,18506,1,10.36,126.97,11.51
2025-01-18,Display Ads,Brand Awareness,Last Touch,31795,979,14724.16,123,515001,26479,4,15.04,119.71,34.98
2025-04-06,Display Ads,App Install,Last Touch,29618,734,42674.76,118,205792,25516,3,58.14,361.65,4.82
2025-01-31,Meta Ads,Lead Gen,Last Touch,39658,1096,64543.44,170,730490,20573,3,58.89,379.67,11.32
2025-04-29,Direct Traffic,Lead Gen,Last Touch,39860,1704,33977.76,168,308280,28962,2,19.94,202.25,9.07
2025-01-29,Google Ads,Festive Offer,Linear,6025,207,2380.5,24,72672,5460,1,11.5,99.19,30.53
2025-03-04,Direct Traffic,Brand Awareness,Last Touch,33767,1150,22195.0,183,261873,21474,5,19.3,121.28,11.8
2025-03-16,Meta Ads,Loyalty,Last Touch,42845,2393,102827.21,186,453096,26116,5,42.97,552.83,4.41
2025-02-26,Display Ads,Winter Sale,Last Touch,8994,480,18609.6,67,128439,7996,5,38.77,277.76,6.9
2025-05-07,Google Ads,Summer Sale,Linear,48997,2100,74067.0,282,809904,29387,3,35.27,262.65,10.93
2025-04-07,Meta Ads,Lead Gen,Last Touch,20792,1475,34869.0,200,900000,17982,1,23.64,174.34,25.81
2025-05-24,Display Ads,Festive Offer,Linear,39733,1114,22981.82,67,257816,22456,4,20.63,343.01,11.22
2025-04-05,Google Ads,Lead Gen,Linear,17483,403,11126.83,48,65328,9933,2,27.61,231.81,5.87
2025-05-31,Direct Traffic,Lead Gen,First Touch,36417,1184,65321.28,89,112318,25148,2,55.17,733.95,1.72
2025-01-31,Direct Traffic,App Install,First Touch,44610,2775,79420.5,182,458094,31580,4,28.62,436.38,5.77
2025-04-30,Social Media,Summer Sale,Last Touch,22141,920,49597.2,91,408408,18762,3,53.91,545.02,8.23
2025-02-22,Email,Summer Sale,Last Touch,7996,429,8369.79,22,49896,6264,5,19.51,380.45,5.96
2025-05-29,Direct Traffic,Festive Offer,Last Touch,14988,476,9500.96,54,119124,11584,5,19.96,175.94,12.54
2025-06-17,Direct Traffic,Summer Sale,Last Touch,37022,2887,119435.19,299,564811,30051,2,41.37,399.45,4.73
2025-02-05,Direct Traffic,Lead Gen,Last Touch,17061,1279,46287.01,161,231840,9084,1,36.19,287.5,5.01
